Begin,Disapear,Text
"00:44:00,525","00:44:01,692
",Of course he is.
"00:44:04,775","00:44:07,192
",No such thing as a political trial.
"00:44:07,275","00:44:08,275
",Good to know.
"00:44:10,609","00:44:11,692
",I...
"00:44:11,775","00:44:16,817
",I want an expert in geriatric psychiatry sitting in the gallery for a few days.
"00:44:17,734","00:44:21,609
",I want a medical evaluation of this... this judge.
"00:44:28,150","00:44:32,275
",The sequester's probably a reaction to Abbie doing stand-up on weekends.
"00:44:32,359","00:44:33,567
",It's not stand-up.
"00:44:33,650","00:44:36,775
",You're in a college auditorium in a spotlight telling jokes.
"00:44:36,859","00:44:38,484
",That's a little reductive.
"00:44:39,692","00:44:40,817
",Names?
"00:44:40,900","00:44:43,067
",Yeah. From yesterday.
"00:44:47,900","00:44:48,942
",You hungry?
"00:44:51,109","00:44:53,275
","If I hadn't asked you to help me with Sara Beth,"
"00:44:53,359","00:44:54,984
",- none of this would have happened. - No.
"00:44:55,067","00:44:58,109
",I asked you to help with Sara Beth. That got us the first riot.
"00:44:58,192","00:44:59,692
",The first riot got us the real riot.
"00:44:59,775","00:45:01,109
",- That's not-- - Hang on.
"00:45:19,734","00:45:21,817
","Anyway, I'm telling stories. I always..."
"00:45:21,900","00:45:22,984
",I'll add the names.
"00:45:23,817","00:45:24,817
",Thank you.
"00:45:25,317","00:45:28,692
","We move to strike the order for sequestration of the jury,"
"00:45:28,775","00:45:31,025
","which was made by Your Honor, sua sponte motion--"
"00:45:31,109","00:45:32,275
",Hold on.
"00:45:34,109","00:45:36,275
","Mr. Rubin, Mr. Hoffman."
"00:45:36,859","00:45:38,734
",What are you wearing?
"00:45:39,317","00:45:41,859
","It's an homage to you, Your Honor."
"00:45:41,942","00:45:43,567
",Do you have clothes underneath there?
"00:45:44,150","00:45:46,275
",Yes. Hold on.
"00:45:47,525","00:45:49,734
","- Yes. - Take off the robes, please."
"00:45:55,275","00:45:56,359
",Silence!
"00:45:56,442","00:46:00,942
","Bailiff, charge Mr. Rubin and Mr. Hoffman with one count of contempt."
"00:46:01,025","00:46:02,775
","Mr. Kunstler, continue."
"00:46:04,025","00:46:05,734
","We feel that sequestration,"
"00:46:05,817","00:46:09,234
","for what appears will be a considerable period of time, can only--"
"00:46:09,317","00:46:13,442
",It would be a considerably shorter period if the defense made fewer objections.
"00:46:14,025","00:46:16,275
",...can only serve to the defendants' disadvantage.
"00:46:16,359","00:46:20,317
",The defense will make not one fewer objection than the prosecution
"00:46:20,400","00:46:22,734
",or this court gives us reason to.
"00:46:22,817","00:46:28,025
","Bailiff, charge Mr. Kunstler with one count of contempt."
"00:46:29,609","00:46:32,067
",May I continue my argument so it appears in the record?
"00:46:32,150","00:46:33,359
",You may continue.
"00:46:33,442","00:46:37,067
",The jury will be in the custody of the deputy marshals.
"00:46:37,150","00:46:40,442
",The marshals will take care of all the needs and wants of the jury.
"00:46:40,525","00:46:44,067
",We feel that that tends to make the jurors sympathetic.
"00:46:44,150","00:46:47,109
",The jury are gonna be taken care of...
"00:47:00,984","00:47:03,275
",- Paul Deluca. - And what is your occupation?
"00:47:03,359","00:47:06,317
","I'm a detective with the police department, City of Chicago."
"00:47:06,400","00:47:09,984
","Calling your attention to August of 1968 during the convention,"
"00:47:10,067","00:47:12,150
",did you have a specific assignment?
"00:47:12,234","00:47:16,692
","To keep Rennie Davis under surveillance with my partner, Detective Bell."
"00:47:16,775","00:47:21,692
","While you were surveilling Rennie Davis on the evening of Sunday, August 25th,"
"00:47:21,775","00:47:23,734
","the night before the convention began,"
"00:47:23,817","00:47:26,525
",did you observe Tom Hayden committing a crime?
"00:47:26,609","00:47:30,900
","Yes, Mr. Hayden was letting the air out of the tire of a police vehicle."
"00:47:32,359","00:47:36,734
",The park closes at 11:00 p.m. by order of the Chicago PD.
"00:47:36,817","00:47:38,734
",You must be out of the park by 11:00 p.m.
"00:47:39,609","00:47:42,484
",Violators will be prosecuted for trespassing.
"00:47:43,400","00:47:45,817
","I repeat, you must be out of the park."
"00:48:00,192","00:48:03,359
","It's a strategy of throwin' banana peels all over Chicago,"
"00:48:03,900","00:48:05,359
",and the machine will stumble.
"00:48:05,442","00:48:08,567
","When it stumbles, it goes into a policy of overkill"
"00:48:08,650","00:48:10,775
",and it starts to devour itself.
"00:48:11,692","00:48:13,025
",We gotta convince 'em.
"00:48:13,109","00:48:17,275
",We gotta convince 'em of what? That we're crazy enough to do anything.
"00:48:26,192","00:48:27,734
",We think it's important
"00:48:27,817","00:48:30,734
",for confrontational tactical knowledge to be understood.
"00:48:30,817","00:48:31,900
",You know it!
"00:48:31,984","00:48:34,442
","Right, confrontational tactics make us safer."
"00:48:34,525","00:48:35,359
",- Yeah. - Right.
"00:48:35,442","00:48:37,567
",Why? Because the pigs become afraid.
"00:48:38,359","00:48:41,359
","You know, and that's fighting fire with what?"
"00:48:41,442","00:48:42,484
",Fire!
"00:48:42,567","00:48:45,692
","You don't fight fire with fire. You fight it with water, jackass."
"00:48:45,775","00:48:48,525
",- It's a metaphor. - Abbie and his fuckin' banana peels?
"00:48:48,609","00:48:49,609
",Also a metaphor.
"00:48:49,692","00:48:51,984
","Between the cops, the state police and the Guard,"
"00:48:52,067","00:48:56,109
","Daley's got 15,000 soldiers whose guns are loaded with bullets that are literal."
"00:48:56,192","00:48:59,775
","- I could argue that the bullets are also-- - Yeah, so could I, but don't."
"00:49:00,400","00:49:03,567
",The atmosphere's getting dangerous and someone's gonna throw a rock.
"00:49:03,650","00:49:06,442
",I wanna get the word out we're protesting the war and not the cops.
"00:49:06,525","00:49:08,234
",- Damn it! - What?
"00:49:09,025","00:49:10,192
",I think those are my guys.
"00:49:11,109","00:49:12,442
",I think that's their car.
"00:49:14,025","00:49:17,650
","Yep, that's them. They're back. They were following me all day."
"00:49:18,609","00:49:21,734
","Listen, here's the thing I haven't told you about Sara Beth."
"00:49:21,817","00:49:23,900
",- She isn't into this at all. - Isn't into what?
"00:49:23,984","00:49:26,650
","When I'm with her and her family, I try to..."
"00:49:27,234","00:49:29,609
",I de-emphasize the...
"00:49:30,567","00:49:32,942
",- radical revolutionary part of my-- - Got it.
"00:49:33,025","00:49:34,859
",Her parents are letting me stay with them.
"00:49:34,942","00:49:37,650
",If I show up tailed by two undercover police officers--
"00:49:37,734","00:49:40,317
",- That'll be hard to explain. - This isn't her world.
"00:49:40,400","00:49:42,817
",It's definitely not her parents' world.
"00:49:42,900","00:49:47,025
",- If I bring my world into their driveway-- - You could be in a healthier relationship.
"00:49:47,109","00:49:50,817
","I know, but until then, it's the one I got."
"00:49:51,400","00:49:53,400
",- So that's their car? - Yep.
"00:49:55,109","00:49:57,275
",- Where are they? - Looking for me.
"00:49:58,192","00:50:00,984
","All right, go back into the crowd and let 'em find you."
"00:50:01,609","00:50:04,067
",And then leave the park by the east exit.
"00:50:04,150","00:50:06,942
",- They'll need their car to follow you. - What are you gonna do?
"00:50:07,025","00:50:10,525
","It won't remind anyone of Gandhi, but a little civil disobedience. Go."
"00:50:10,609","00:50:13,984
",- You're not gonna cut the brakes-- - I'll let the air out of a tire. Go.
"00:50:14,067","00:50:17,359
",I appreciate it. I don't wanna be a phony with Sara--
"00:50:17,442","00:50:20,317
",- You're welcome. You should really go now. - Yep.
"00:50:22,192","00:50:26,067
","Detective Bell and I spotted Rennie Davis walking in the crowd,"
"00:50:26,150","00:50:28,650
",and we observed him on foot for a few minutes.
"00:50:28,734","00:50:30,067
",Then we returned to the unit.
"00:50:30,150","00:50:31,900
",- Your car? - Yes.
"00:50:31,984","00:50:33,067
",What did you find?
"00:50:36,025","00:50:38,442
",- Don't fuckin' move. - On your feet.
"00:50:38,525","00:50:40,692
",Those are two contradictory instructions--
"00:50:42,275","00:50:44,025
","All right, hands behind your head."
"00:50:44,567","00:50:45,817
",Spread your legs.
"00:50:46,442","00:50:49,692
",- Was that a contradictory instruction? - No.
"00:50:49,775","00:50:52,192
",- What happened then? - Someone from the crowd shouted...
"00:50:52,275","00:50:55,942
","- They're hassling Tom Hayden! - Paulie, you need to see what I'm seeing."
"00:50:58,150","00:51:02,192
",- Hey! Stay back there! All of ya! - BELLl Police! Stay back!
"00:51:02,275","00:51:05,984
","- Listen, everybody stay cool. - Shut up. All right, tell 'em to get back."
"00:51:06,067","00:51:08,525
","- Again, that's a contradict-- - Tell 'em to get back."
"00:51:08,609","00:51:10,775
",Did he tell the crowd to back down?
"00:51:10,859","00:51:13,650
",Everybody get back. I'm all right. Stay cool.
"00:51:13,734","00:51:15,067
",He was egging them on.
"00:51:15,150","00:51:17,525
",Did you take Mr. Hayden under arrest at that moment?
"00:51:17,609","00:51:19,275
","- No, sir. - Why not?"
"00:51:19,859","00:51:22,984
","- Who's shinin' that? - Paulie, it's a camera. It's a TV camera."
"00:51:23,859","00:51:25,900
","We wanted to defuse the situation,"
"00:51:25,984","00:51:29,234
",so we arranged to take Mr. Hayden in the next morning.
"00:51:32,234","00:51:33,442
",This is gonna be for me.
"00:51:33,525","00:51:35,150
",Let me try to explain to them.
"00:51:35,234","00:51:37,192
",Tell 'em about Sara Beth's parents.
"00:51:37,275","00:51:38,734
",- Yeah. - I was kidding.
"00:51:38,817","00:51:41,192
",Just bail me out and keep to the schedule. It's fine.
"00:51:41,275","00:51:42,942
",- Tom Hayden? - Yeah.
"00:51:43,025","00:51:44,775
",- See you in a bit. - You're under arrest.
"00:51:44,859","00:51:45,859
",Got it.
"00:51:47,150","00:51:50,317
","We'll stand in recess for one hour, and court will resume at 1:30--"
"00:51:50,400","00:51:53,150
","Your Honor, I have a motion I'd like to bring forward."
"00:51:53,234","00:51:56,192
","You wish to address the court, Mr. Seale?"
"00:51:56,275","00:51:59,817
","- Yes. I have a motion-- - I will hear you, Mr. Seale."
"00:52:01,859","00:52:02,859
",Just a moment.
"00:52:03,234","00:52:05,484
","Mr. Seale, do you have a motion?"
"00:52:05,567","00:52:09,317
","""I, Bobby G. Seale, have a motion pro se to defend myself."""
"00:52:09,400","00:52:12,817
","""I'd like to invoke the precedent of Adams vs. US ex rel. McCann,"
"00:52:12,900","00:52:14,484
","where the Supreme Court is--"""
"00:52:14,567","00:52:17,442
",That's enough. Where are you learning these things?
"00:52:17,525","00:52:20,942
",Does your young friend Mr. Hampton have a background in law?
"00:52:21,025","00:52:24,525
","Your Honor, the other defendants would like to join in Mr. Seale's motion."
"00:52:24,609","00:52:26,692
",Are you now speaking on behalf of Mr. Seale?
"00:52:26,775","00:52:30,567
","No, Your Honor, I'm speaking on behalf of the other defendants."
"00:52:30,650","00:52:33,400
",You're right next to him. Why don't you represent him?
"00:52:33,484","00:52:36,067
","Because I'm not his lawyer, sir."
"00:52:36,150","00:52:39,567
","And if I understand Mr. Seale, this last month and a half,"
"00:52:39,650","00:52:43,817
","and I believe I have, he is not represented by counsel."
"00:52:43,900","00:52:44,734
",Overruled.
"00:52:44,817","00:52:46,775
",- I am being denied right now... - Mr. Seale...
"00:52:46,859","00:52:50,609
",...my constitutional right for legal representation--
"00:52:50,692","00:52:52,109
",Will you be quiet!
"00:52:53,734","00:52:56,192
",You have lawyers to speak for you.
"00:52:56,275","00:52:58,067
","No, he doesn't!"
"00:53:13,442","00:53:17,609
",Cite Mr. Kunstler with his second count of contempt.
"00:53:17,692","00:53:18,859
",All rise.
"00:53:26,109","00:53:30,025
","So, Hayden's in a holding cell on a tire pressure-related charge,"
"00:53:30,109","00:53:33,192
","and suddenly, every freak in Chicago is mobilized."
"00:53:33,275","00:53:35,067
","""They got Hayden!"""
"00:53:35,150","00:53:38,067
","""We gotta march down to the police station,"
"00:53:38,150","00:53:41,109
",overcome the cops and the Illinois National Guard
"00:53:41,192","00:53:42,984
","and free Tom Hayden!"""
"00:53:44,317","00:53:46,025
",We couldn't find our way out of the park.
"00:53:48,275","00:53:53,317
","Now, over the course of ten days, the government called 37 witnesses,"
"00:53:53,400","00:53:57,109
",each and every one of them an employee of the government.
"00:53:57,734","00:54:01,359
","I call this portion of the trial ""with friends like these."""
"00:54:01,442","00:54:03,525
","Rennie, this is Sam. He can be trusted."
"00:54:04,192","00:54:06,692
","Detective Sam McGiven, Chicago Police Department."
"00:54:06,775","00:54:08,400
","- Abbie, this is Stan. - Oh, hey."
"00:54:08,484","00:54:10,400
","- Stan Wojohowski. - How you doin', Stan?"
"00:54:10,484","00:54:13,692
",- What is your occupation? - I'm a Chicago police officer.
"00:54:13,775","00:54:14,984
","Scotty Scibelli, Tom."
"00:54:15,067","00:54:18,025
","I'm your guy for ass, weed or whatever you need."
"00:54:18,109","00:54:21,109
","Staff Sergeant Scott Scibelli, Illinois State Police."
"00:54:27,150","00:54:29,067
",It's from the woman in the glasses.
"00:54:32,317","00:54:33,859
",- Really? - Yeah.
"00:54:43,900","00:54:46,192
","Hey, uh, did you mean this for me?"
"00:54:46,275","00:54:48,609
",- I did. - Nobody's ever sent me a drink before.
"00:54:48,692","00:54:51,234
",- How do you like it so far? - It's a Tom Collins.
"00:54:51,317","00:54:54,192
","I know it's a country club drink, but they're delicious."
"00:54:54,275","00:54:58,984
","A man in England named Tom Collins claimed in 1894 to have invented it,"
"00:54:59,067","00:55:01,900
","but then another man, whose name I've forgotten, said no,"
"00:55:01,984","00:55:05,692
","he'd invented it two years earlier, and I think there was a lawsuit."
"00:55:05,775","00:55:08,734
",That's a surprising amount of controversy for gin and lemonade.
"00:55:09,317","00:55:10,567
",- I'm Jerry. - I know.
"00:55:11,400","00:55:15,525
","Jerry, do you know why the French only eat one egg for breakfast?"
"00:55:15,609","00:55:17,567
","- No. - Because in France,"
"00:55:17,650","00:55:20,275
",one egg... is un oeuf.
"00:55:22,400","00:55:23,650
",It's un oeuf.
"00:55:24,317","00:55:26,942
",- Wow! - I know!
"00:55:27,025","00:55:29,442
",I feel so much better about my Tom Collins story.
"00:55:31,150","00:55:32,192
",I'm Daphne O'Connor.
"00:55:32,275","00:55:35,942
","Special Agent Daphne O'Connor, FBI Counterintelligence."
"00:55:36,025","00:55:37,192
",Spell your name.
"00:55:37,275","00:55:40,900
",Think it's possible there were seven demonstrators in Chicago last summer
"00:55:40,984","00:55:43,609
","leading 10,000 undercover cops in protest?"
"00:55:43,692","00:55:45,150
",What was your assignment in Chicago?
"00:55:45,234","00:55:48,442
",To use Jerry Rubin to infiltrate the leaders of the protest.
"00:55:48,525","00:55:52,275
","And you were with Jerry Rubin, Abbie Hoffman, Dave Dellinger"
"00:55:52,359","00:55:55,442
",and Rennie Davis on the afternoon of the 27th?
"00:55:55,525","00:55:56,359
",Yes.
"00:55:56,442","00:55:59,775
",- What were they doing together? - They were leading a group of protesters.
"00:55:59,859","00:56:01,817
","- How many, would you say? - About 800."
"00:56:01,900","00:56:03,692
",Where were they leading these 800 people?
"00:56:03,775","00:56:06,692
",- To police headquarters at 11th and State. - Why?
"00:56:06,775","00:56:10,692
",Tom Hayden was being held there on charges of tampering with a police vehicle.
"00:56:10,775","00:56:13,442
","Jerry Rubin said it was time to ""confront the pigs."""
"00:56:14,109","00:56:16,025
","And by ""pigs,"" he meant..."
"00:56:16,109","00:56:18,317
",It was time to confront the police.
"00:56:21,275","00:56:22,942
",Follow Abbie!
"00:56:23,609","00:56:25,484
","Marshals, we're on the move."
"00:56:29,317","00:56:33,109
",I remember also at the front of the group was Mr. Allen Ginsberg.
"00:56:33,192","00:56:34,817
","Allen Ginsberg, the poet?"
"00:56:34,900","00:56:37,692
","Yes, he was chanting a kind of war chant."
"00:56:37,775","00:56:40,984
",- Om. - What's he doing?
"00:56:41,067","00:56:43,150
",He's channeling the energy. Settling things down.
"00:56:43,234","00:56:44,609
",And how's that workin' so far?
"00:56:44,692","00:56:47,609
",- Our streets! - Our streets!
"00:56:47,692","00:56:51,650
",- Our streets! - Our streets!
"00:56:51,734","00:56:56,484
","The guy testified that Ginsberg was letting out a war chant,"
"00:56:56,567","00:57:00,442
","some kinda fucking jungle signal to Beat poets,"
"00:57:00,525","00:57:04,275
",that they should begin pelting the troops with blank verse.
"00:57:06,400","00:57:09,859
","So, a guy in the crowd is marching with a girl on his shoulders."
"00:57:09,942","00:57:12,400
","She's waving an American flag,"
"00:57:12,484","00:57:16,109
",and this seems to really be bothering some frat brothers
"00:57:16,192","00:57:18,900
",who'd come to town in the spirit of fraternity.
"00:57:18,984","00:57:22,317
","- Put down the flag! - Hey, put the flag down!"
"00:57:22,400","00:57:25,400
","Can you hear us? Are you fucking deaf, you bitch?"
"00:57:25,484","00:57:29,567
",- Put the flag down! - Go to the kitchen and make me a sandwich!
"00:57:29,650","00:57:31,859
",I'm gonna go back there and take care of that.
"00:57:31,942","00:57:33,234
",They are not the enemy.
"00:57:33,317","00:57:35,067
","In so many fuckin' ways, they are."
"00:57:37,525","00:57:41,984
",Free Tom Hayden! Free Tom Hayden!
"00:57:45,692","00:57:47,900
",The group turned left on 11th Street.
"00:57:47,984","00:57:49,900
",We make a left on 11th Street.
"00:57:49,984","00:57:51,067
",That's when they saw it.
"00:57:51,150","00:57:55,692
",Free Tom Hayden!
"00:57:55,775","00:57:58,567
",Free Tom Hayden!
"00:57:58,650","00:58:00,942
",Free Tom Hayden!
"00:58:01,025","00:58:02,484
",Holy shit!
"00:58:06,942","00:58:08,650
",Are they about to conquer Spain?
"00:58:10,817","00:58:13,609
",Free Tom Hayden!
"00:58:13,692","00:58:14,692
",Fuck it.
"00:58:15,359","00:58:18,317
","- What do you mean, ""Fuck it""? - This is it. It's time."
"00:58:19,025","00:58:21,859
",- We're not rushing the police. - Why the fuck not?
"00:58:21,942","00:58:25,109
",- We'll be critically injured. - Tom doesn't want anyone hurt.
"00:58:25,192","00:58:27,359
",Turn this crowd around. There's too much momentum.
"00:58:27,442","00:58:30,150
",- Turn 'em around and calm them down. - What are we doin'?
"00:58:30,234","00:58:33,400
",He's right. This is not safe. I know something about this. Come on.
"00:58:33,484","00:58:35,442
","Marshals, turn 'em around and slow 'em down."
"00:58:35,525","00:58:37,984
",Looks like the Alamo back here. Turn 'em around.
"00:58:38,067","00:58:40,859
",- Bring 'em safely to the park. - We should be marching up to them.
"00:58:40,942","00:58:42,984
","I don't think they'll surrender, man."
"00:58:43,567","00:58:47,275
",Keep 'em movin'. Dave and I are gonna stay and make Tom's bail.
"00:58:47,359","00:58:48,567
",Back to the park!
"00:58:49,650","00:58:51,525
","I don't carry money, do you?"
"00:58:52,192","00:58:54,484
",I do. I'm a grown man.
"00:58:54,567","00:58:55,900
",Om.
"00:58:55,984","00:58:58,400
","You're killin' me, Allen. You're goddamn killing me!"
"00:58:58,484","00:59:00,984
",The marshals are spreading word that we gotta keep moving.
"00:59:01,067","00:59:03,609
","""Go left on Roosevelt and back in the park,"" right?"
"00:59:03,692","00:59:04,984
","When they got to the park,"
"00:59:05,067","00:59:07,984
",three divisions of police officers had moved in from the south.
"00:59:27,692","00:59:31,025
","I don't know what tactical genius came up with that,"
"00:59:31,109","00:59:32,775
",but you know when shit happens?
"00:59:32,859","00:59:35,984
",When you don't give protesters a place to go.
"00:59:36,067","00:59:38,359
",How would you characterize the mood of the crowd?
"00:59:38,442","00:59:42,734
","The witness is in no position to characterize the mood of 1,000 strangers."
"00:59:42,817","00:59:44,192
",Do you have an objection?
"00:59:44,275","00:59:46,150
","- Yes, sir. - On what grounds?"
"00:59:46,234","00:59:47,234
",On those grounds.
"00:59:47,817","00:59:49,234
",Overruled.
"00:59:49,317","00:59:51,275
",I will clear this courtroom.
"00:59:52,650","00:59:53,817
",Mr. Wojohowski?
"00:59:53,900","00:59:55,317
",The crowd was looking for a fight.
"00:59:55,400","00:59:58,484
",You're pigs! Your children are pigs!
"00:59:58,567","01:00:00,775
","No, we should leave their children out of it."
"01:00:00,859","01:00:02,275
",You're right. I know.
"01:00:02,359","01:00:04,900
","""White honky MFers, get out of our park."""
"01:00:04,984","01:00:06,359
","And then he said, ""Look at 'em."""
"01:00:06,442","01:00:07,859
",They don't look so tough.
"01:00:08,525","01:00:10,442
","Well, the guns..."
"01:00:10,525","01:00:12,775
",There are no permits for this demonstration.
"01:00:12,859","01:00:14,817
","You're ordered to leave the park, immediately!"
"01:00:14,900","01:00:17,317
","Put down your guns, motherfuckers!"
"01:00:17,400","01:00:18,942
",Fight like fuckin' men!
"01:00:19,025","01:00:21,609
","Just so you know, I do not have your back on that."
"01:00:21,692","01:00:26,234
","And the guys from Kappa Gamma Douchebag, who were hassling the girl?"
"01:00:26,317","01:00:28,025
",They're back.
"01:00:28,109","01:00:30,900
","Put down the goddamn flag, you cunt!"
"01:00:30,984","01:00:32,900
",- Go make me a sandwich! - Put it down!
"01:00:32,984","01:00:34,859
",- Put the flag down! - Calm down!
"01:00:34,942","01:00:37,400
","Help me calm 'em down, Jerry!"
"01:00:37,484","01:00:40,234
","Baby, defuse the situation. They will listen to you."
"01:00:40,317","01:00:41,984
",- Huh. - What?
"01:00:42,067","01:00:44,317
","Nothing, that sounded nice when you said it."
"01:00:44,400","01:00:45,567
",- Right now! - Yeah.
"01:00:45,650","01:00:48,900
",- Someone from the crowd shouts... - A guy in the crowd shouts...
"01:00:48,984","01:00:50,859
",Someone in the crowd shouted...
"01:00:50,942","01:00:52,109
",Take the hill!
"01:00:52,192","01:00:56,275
","Hey! Stop running! Hey, everybody!"
"01:00:56,359","01:00:59,609
",The street name for chloroacetophenone is tear gas.
"01:00:59,692","01:01:00,692
",Fire!
"01:01:01,609","01:01:04,192
",And it's a fuckin' blowtorch.
"01:01:04,275","01:01:06,692
","Your lungs, your skin, your eyes..."
"01:01:06,775","01:01:08,317
","- Go, go! - Riot clubs?"
"01:01:08,400","01:01:11,192
",They're made out of the same wood they use for baseball bats.
"01:01:30,942","01:01:33,192
",Let me go!
"01:01:42,234","01:01:43,650
",Put the flag down!
"01:01:48,317","01:01:50,859
",- Hey! - You shut your fuckin' mouth!
"01:01:50,942","01:01:52,609
",What are you doing?
"01:01:52,692","01:01:54,234
",You got this coming!
"01:01:54,317","01:01:57,859
","What the fuck is wrong with you? Hey! Hey, get the fuck off of her!"
"01:01:57,942","01:01:59,234
",What's the matter with you?
"01:01:59,317","01:02:00,525
","Fuck you, hippie faggot!"
"01:02:03,192","01:02:04,567
",You're all right.
"01:02:04,650","01:02:06,609
",You're okay. Here.
"01:02:06,692","01:02:09,734
","You gotta just hold this over your face, okay?"
"01:02:09,817","01:02:12,025
",I'm gonna take you to the first-aid station.
"01:02:12,109","01:02:13,567
",You're all right. I got you.
"01:02:13,650","01:02:16,150
","We have to go. Okay, I'm gonna get you out of here."
"01:02:16,234","01:02:17,484
",I'm gonna...
"01:02:20,067","01:02:21,609
","Don't move, Jerry."
"01:02:21,692","01:02:24,400
","- Man, get those guys. They were-- - You're under arrest."
"01:02:25,567","01:02:29,525
",Everybody gather in the center of the park...
"01:02:30,067","01:02:31,942
","After bailing out Tom Hayden,"
"01:02:32,025","01:02:36,359
","Abbie, Dave and Tom returned to the park. Is that correct?"
"01:02:42,692","01:02:44,567
","Sir, can you look at me? Sir?"
"01:02:50,484","01:02:51,484
",Get in.
"01:02:55,734","01:02:57,025
",I'll be honest.
"01:02:57,109","01:02:59,984
",I was starting to worry about getting everyone out of Chicago alive.
"01:03:00,067","01:03:02,484
","- That's not really up to us. - Yeah, it is."
"01:03:03,192","01:03:05,692
",What are you lookin' at me for? I went to bail you out.
"01:03:06,275","01:03:08,442
",800 people followed you?
"01:03:08,525","01:03:12,442
","Oh, that. Yeah, people follow me. Hell if I know why."
"01:03:12,525","01:03:14,234
",I'm racking my brain as well.
"01:03:14,317","01:03:15,984
",How'd you make bail so fast?
"01:03:16,067","01:03:18,525
","I wasn't arrested, I was detained."
"01:03:18,609","01:03:20,984
",They couldn't figure out what to charge me with.
"01:03:21,067","01:03:22,067
",Assault.
"01:03:23,609","01:03:26,275
",I was assaulting someone who was assaulting someone.
"01:03:26,359","01:03:27,442
","- So-- - Okay, guys."
"01:03:27,525","01:03:30,400
",Nothing is more dangerous than a crowd of people moving.
"01:03:30,484","01:03:33,025
",It's like trying to redirect the Mississippi River.
"01:03:33,942","01:03:36,275
",- Isn't she great? - Get your people to cool off.
"01:03:36,359","01:03:38,859
",- We're responsible for these people. - Tommy.
"01:03:38,942","01:03:41,109
",We have to protest in front of the convention.
"01:03:41,192","01:03:44,442
",Plain and simple. 'Cause that's where the cameras are.
"01:03:44,525","01:03:48,109
",We have to get to the convention. That means we have to leave the park.
"01:03:48,192","01:03:49,942
",And that's when people'll get hurt.
"01:03:50,025","01:03:54,025
","As long as every person following me knows that, then I sleep fine at night."
"01:03:54,109","01:03:55,650
",Tell me how you do it.
"01:03:55,734","01:03:57,525
",- A lot of it is drugs. - Yeah?
"01:03:58,109","01:04:00,650
",This is what happened when we try to go up a hill.
"01:04:01,650","01:04:04,442
",We're not getting anywhere near the convention.
"01:04:06,192","01:04:10,859
","Special Agent O'Connor, you testified that Jerry Rubin said,"
"01:04:10,942","01:04:15,525
","""Fuck 'em all. They're all pigs. We should form an army and get guns."""
"01:04:16,150","01:04:16,984
",Yes.
"01:04:17,067","01:04:20,025
","And when he said that, did anyone form an army and get guns?"
"01:04:20,109","01:04:20,942
",No.
"01:04:21,025","01:04:24,609
",Did Jerry Rubin instruct the crowd to run into the park?
"01:04:25,192","01:04:26,984
",- No. - Did Rennie Davis?
"01:04:27,067","01:04:29,775
",- No. - Was Abbie Hoffman even there?
"01:04:29,859","01:04:31,734
",- No. - Was Dave Dellinger?
"01:04:31,817","01:04:33,817
",- No. - John Froines there?
"01:04:33,900","01:04:35,275
",- No. - Lee Weiner?
"01:04:36,150","01:04:37,234
","No, he wasn't there."
"01:04:37,317","01:04:39,859
",You testified that Jerry and Rennie...
"01:04:39,942","01:04:41,692
",Can you say it for me again?
"01:04:41,775","01:04:44,400
",That they were trying to turn the people around
"01:04:44,484","01:04:47,859
",and send them back down the hill just like you told them to.
"01:04:48,775","01:04:49,984
",Is that correct?
"01:04:54,650","01:04:57,484
","Mr. Kunstler, the demonstrators attacked the police"
"01:04:57,567","01:04:58,900
",and the police responded.
"01:05:00,400","01:05:04,484
",And are any of those demonstrators that you saw attacking the police
"01:05:04,567","01:05:06,859
",sitting here at the defense table?
"01:05:06,942","01:05:09,567
","- No, sir. - Well, thank you."
"01:05:10,067","01:05:11,984
",No further questions.
"01:05:12,067","01:05:14,067
","- The court will stand-- - I wasn't there, either."
"01:05:14,150","01:05:15,942
",- Mr. Seale-- - I wasn't there at all.
"01:05:16,025","01:05:18,317
",I should be allowed to cross-examine this witness!
"01:05:18,400","01:05:20,984
",- We will stand in recess until-- - Four hours!
"01:05:21,067","01:05:22,067
",Mr. Hampton!
"01:05:22,150","01:05:24,025
",That's how long Bobby Seale was in Chicago.
"01:05:24,109","01:05:25,692
",- Quiet! - Four hours!
"01:05:33,150","01:05:34,359
",All rise.
"01:05:39,317","01:05:42,234
",The court will stand in recess for the weekend.
"01:05:49,359","01:05:51,067
","Yeah, I took in the exhibit."
"01:05:51,150","01:05:52,984
",I cleared my mind.
"01:05:54,442","01:05:57,109
",Stood there for 20 minutes. I felt nothing.
"01:05:58,942","01:06:03,442
","Well, but it wasn't a painting, it was an exhibit."
"01:06:04,150","01:06:05,609
",It was a natural history museum.
"01:06:05,692","01:06:08,609
",And when you put exhibits of Native Indian families
"01:06:08,692","01:06:10,234
",in a natural history museum
"01:06:10,317","01:06:13,484
","alongside dioramas of early man and the Jurassic age,"
"01:06:13,567","01:06:18,317
",it gives the impression that the Cherokee evolved into modern-day Europeans.
"01:06:19,400","01:06:20,525
",Look who it is.
"01:06:21,109","01:06:23,067
",I got a bone to pick with that guy.
"01:06:23,150","01:06:24,317
","Hey, Counselor."
"01:06:25,692","01:06:27,942
",- No colleges this weekend? - Winter break.
"01:06:28,025","01:06:30,692
",- My audience went home to their parents. - Mm-hmm.
